name,address,street_address,city,state,zip_code,full_address,source,import_date,import_time
,8534 Alden Ln\,8534 Alden Ln\,,,,8534 Alden Ln\,Google Maps Agent - Google Maps List,2025-07-22,22:05:00
,"8315 Acuff Ln, Lenexa, KS 66215\",8315 Acuff Ln,Lenexa,KS,66215,"8315 Acuff Ln, Lenexa, KS 66215\",Google Maps Agent - Google Maps List,2025-07-22,22:05:00
,"8606 Hallet St, Lenexa, KS 66215\",8606 Hallet St,Lenexa,KS,66215,"8606 Hallet St, Lenexa, KS 66215\",Google Maps Agent - Google Maps List,2025-07-22,22:05:00
,"8309 Acuff Ln, Lenexa, KS 66215\",8309 Acuff Ln,Lenexa,KS,66215,"8309 Acuff Ln, Lenexa, KS 66215\",Google Maps Agent - Google Maps List,2025-07-22,22:05:00
,"8438 Hallet St, Lenexa, KS 66215\",8438 Hallet St,Lenexa,KS,66215,"8438 Hallet St, Lenexa, KS 66215\",Google Maps Agent - Google Maps List,2025-07-22,22:05:00
,8601 Greenwood Ln\,8601 Greenwood Ln\,,,,8601 Greenwood Ln\,Google Maps Agent - Google Maps List,2025-07-22,22:05:00
,8638 Dice Ln\,8638 Dice Ln\,,,,8638 Dice Ln\,Google Maps Agent - Google Maps List,2025-07-22,22:05:00
,"8622 Greenway Ln, Lenexa, KS 66215\",8622 Greenway Ln,Lenexa,KS,66215,"8622 Greenway Ln, Lenexa, KS 66215\",Google Maps Agent - Google Maps List,2025-07-22,22:05:00
,15002 W 84th Terrace\,15002 W 84th Terrace\,,,,15002 W 84th Terrace\,Google Maps Agent - Google Maps List,2025-07-22,22:05:00
,"14243 W 84th Terrace, Lenexa, KS 66215\",14243 W 84th Terrace,Lenexa,KS,66215,"14243 W 84th Terrace, Lenexa, KS 66215\",Google Maps Agent - Google Maps List,2025-07-22,22:05:00
,8344 Mullen Rd\,8344 Mullen Rd\,,,,8344 Mullen Rd\,Google Maps Agent - Google Maps List,2025-07-22,22:05:00
,"14630 W 83rd Terrace, Lenexa, KS 66215\",14630 W 83rd Terrace,Lenexa,KS,66215,"14630 W 83rd Terrace, Lenexa, KS 66215\",Google Maps Agent - Google Maps List,2025-07-22,22:05:00
,"8349 Mullen Rd, Lenexa, KS 66215\",8349 Mullen Rd,Lenexa,KS,66215,"8349 Mullen Rd, Lenexa, KS 66215\",Google Maps Agent - Google Maps List,2025-07-22,22:05:00
,8434 Acuff Ln\,8434 Acuff Ln\,,,,8434 Acuff Ln\,Google Maps Agent - Google Maps List,2025-07-22,22:05:00
,"8337 Hallet St, Lenexa, KS 66215\",8337 Hallet St,Lenexa,KS,66215,"8337 Hallet St, Lenexa, KS 66215\",Google Maps Agent - Google Maps List,2025-07-22,22:05:00
,8364 Alden St\,8364 Alden St\,,,,8364 Alden St\,Google Maps Agent - Google Maps List,2025-07-22,22:05:00
,8421 Hallet St,8421 Hallet St,,,,8421 Hallet St,Google Maps Agent - Google Maps List,2025-07-22,22:05:00
,8335 Hallet St\,8335 Hallet St\,,,,8335 Hallet St\,Google Maps Agent - Google Maps List,2025-07-22,22:05:00
,8527 Hallet St,8527 Hallet St,,,,8527 Hallet St,Google Maps Agent - Google Maps List,2025-07-22,22:05:00
,"8311 Mullen Rd, Lenexa, KS 66215\",8311 Mullen Rd,Lenexa,KS,66215,"8311 Mullen Rd, Lenexa, KS 66215\",Google Maps Agent - Google Maps List,2025-07-22,22:05:00
,"8334 Greenwood Cir, Lenexa, KS 66215\",8334 Greenwood Cir,Lenexa,KS,66215,"8334 Greenwood Cir, Lenexa, KS 66215\",Google Maps Agent - Google Maps List,2025-07-22,22:05:00
,"8608 Hallet St, Lenexa, KS 66215\",8608 Hallet St,Lenexa,KS,66215,"8608 Hallet St, Lenexa, KS 66215\",Google Maps Agent - Google Maps List,2025-07-22,22:05:00
,"8411 Acuff Ln, Lenexa, KS 66215\",8411 Acuff Ln,Lenexa,KS,66215,"8411 Acuff Ln, Lenexa, KS 66215\",Google Maps Agent - Google Maps List,2025-07-22,22:05:00
,14712 W 84th St\,14712 W 84th St\,,,,14712 W 84th St\,Google Maps Agent - Google Maps List,2025-07-22,22:05:00
,"8530 Hallet St, Lenexa, KS 66215\",8530 Hallet St,Lenexa,KS,66215,"8530 Hallet St, Lenexa, KS 66215\",Google Maps Agent - Google Maps List,2025-07-22,22:05:00
,"8013 Hallet St, Lenexa, KS 66215\",8013 Hallet St,Lenexa,KS,66215,"8013 Hallet St, Lenexa, KS 66215\",Google Maps Agent - Google Maps List,2025-07-22,22:05:00
,8348 Acuff Ln\,8348 Acuff Ln\,,,,8348 Acuff Ln\,Google Maps Agent - Google Maps List,2025-07-22,22:05:00
,8507 Hallet St,8507 Hallet St,,,,8507 Hallet St,Google Maps Agent - Google Maps List,2025-07-22,22:05:00
,8212 Acuff Ln,8212 Acuff Ln,,,,8212 Acuff Ln,Google Maps Agent - Google Maps List,2025-07-22,22:05:00
,"8336 Oakview Cir, Lenexa, KS 66215\",8336 Oakview Cir,Lenexa,KS,66215,"8336 Oakview Cir, Lenexa, KS 66215\",Google Maps Agent - Google Maps List,2025-07-22,22:05:00
,"14302 W 84th Terrace, Lenexa, KS 66215\",14302 W 84th Terrace,Lenexa,KS,66215,"14302 W 84th Terrace, Lenexa, KS 66215\",Google Maps Agent - Google Maps List,2025-07-22,22:05:00
,14320 W 84th Terrace\,14320 W 84th Terrace\,,,,14320 W 84th Terrace\,Google Maps Agent - Google Maps List,2025-07-22,22:05:00
,"14719 W 84th St, Lenexa, KS 66215\",14719 W 84th St,Lenexa,KS,66215,"14719 W 84th St, Lenexa, KS 66215\",Google Maps Agent - Google Maps List,2025-07-22,22:05:00
,"14219 W 84th Terrace, Lenexa, KS 66215\",14219 W 84th Terrace,Lenexa,KS,66215,"14219 W 84th Terrace, Lenexa, KS 66215\",Google Maps Agent - Google Maps List,2025-07-22,22:05:00
,"14638 W 85th Terrace, Lenexa, KS 66215\",14638 W 85th Terrace,Lenexa,KS,66215,"14638 W 85th Terrace, Lenexa, KS 66215\",Google Maps Agent - Google Maps List,2025-07-22,22:05:00
,8429 Hallet St,8429 Hallet St,,,,8429 Hallet St,Google Maps Agent - Google Maps List,2025-07-22,22:05:00
,"14626 W 84th St, Lenexa, KS 66215\",14626 W 84th St,Lenexa,KS,66215,"14626 W 84th St, Lenexa, KS 66215\",Google Maps Agent - Google Maps List,2025-07-22,22:05:00
,"8425 Constance St, Lenexa, KS 66215\",8425 Constance St,Lenexa,KS,66215,"8425 Constance St, Lenexa, KS 66215\",Google Maps Agent - Google Maps List,2025-07-22,22:05:00
,8538 Alden St\,8538 Alden St\,,,,8538 Alden St\,Google Maps Agent - Google Maps List,2025-07-22,22:05:00
,8602 Greenwood Ln\,8602 Greenwood Ln\,,,,8602 Greenwood Ln\,Google Maps Agent - Google Maps List,2025-07-22,22:05:00
,"8641 Alden St, Lenexa, KS 66215\",8641 Alden St,Lenexa,KS,66215,"8641 Alden St, Lenexa, KS 66215\",Google Maps Agent - Google Maps List,2025-07-22,22:05:00
,"8508 Hallet St, Lenexa, KS 66215\",8508 Hallet St,Lenexa,KS,66215,"8508 Hallet St, Lenexa, KS 66215\",Google Maps Agent - Google Maps List,2025-07-22,22:05:00
,8408 Acuff Ln\,8408 Acuff Ln\,,,,8408 Acuff Ln\,Google Maps Agent - Google Maps List,2025-07-22,22:05:00
,14636 W 86th St\,14636 W 86th St\,,,,14636 W 86th St\,Google Maps Agent - Google Maps List,2025-07-22,22:05:00
,"14641 W 85th Terrace, Lenexa, KS 66215\",14641 W 85th Terrace,Lenexa,KS,66215,"14641 W 85th Terrace, Lenexa, KS 66215\",Google Maps Agent - Google Maps List,2025-07-22,22:05:00
,"8429 Hallet St, Lenexa, KS 66215\",8429 Hallet St,Lenexa,KS,66215,"8429 Hallet St, Lenexa, KS 66215\",Google Maps Agent - Google Maps List,2025-07-22,22:05:00
,14634 W 85th Terrace\,14634 W 85th Terrace\,,,,14634 W 85th Terrace\,Google Maps Agent - Google Maps List,2025-07-22,22:05:00
,"8619 Acuff Ln, Lenexa, KS 66215\",8619 Acuff Ln,Lenexa,KS,66215,"8619 Acuff Ln, Lenexa, KS 66215\",Google Maps Agent - Google Maps List,2025-07-22,22:05:00
,8318 Acuff Ln\,8318 Acuff Ln\,,,,8318 Acuff Ln\,Google Maps Agent - Google Maps List,2025-07-22,22:05:00
,8326 Greenwood Cir\,8326 Greenwood Cir\,,,,8326 Greenwood Cir\,Google Maps Agent - Google Maps List,2025-07-22,22:05:00
,14612 W 86th St\,14612 W 86th St\,,,,14612 W 86th St\,Google Maps Agent - Google Maps List,2025-07-22,22:05:00
,"14413 W 84th Terrace, Lenexa, KS 66215\",14413 W 84th Terrace,Lenexa,KS,66215,"14413 W 84th Terrace, Lenexa, KS 66215\",Google Maps Agent - Google Maps List,2025-07-22,22:05:00
,8530 Darnell St\,8530 Darnell St\,,,,8530 Darnell St\,Google Maps Agent - Google Maps List,2025-07-22,22:05:00
,8519 Hallet St\,8519 Hallet St\,,,,8519 Hallet St\,Google Maps Agent - Google Maps List,2025-07-22,22:05:00
,8542 S Oakview Dr\,8542 S Oakview Dr\,,,,8542 S Oakview Dr\,Google Maps Agent - Google Maps List,2025-07-22,22:05:00
,"14617 W 84th St, Lenexa, KS 66215\",14617 W 84th St,Lenexa,KS,66215,"14617 W 84th St, Lenexa, KS 66215\",Google Maps Agent - Google Maps List,2025-07-22,22:05:00
,8404 Greenwood Cir\,8404 Greenwood Cir\,,,,8404 Greenwood Cir\,Google Maps Agent - Google Maps List,2025-07-22,22:05:00
,14809 W 84th Terrace\,14809 W 84th Terrace\,,,,14809 W 84th Terrace\,Google Maps Agent - Google Maps List,2025-07-22,22:05:00
,14315 W 84th Terrace\,14315 W 84th Terrace\,,,,14315 W 84th Terrace\,Google Maps Agent - Google Maps List,2025-07-22,22:05:00
,8402 Mullen Rd\,8402 Mullen Rd\,,,,8402 Mullen Rd\,Google Maps Agent - Google Maps List,2025-07-22,22:05:00
,"14816 W 84th St, Lenexa, KS 66215\",14816 W 84th St,Lenexa,KS,66215,"14816 W 84th St, Lenexa, KS 66215\",Google Maps Agent - Google Maps List,2025-07-22,22:05:00
,8634 S Oakview Dr\,8634 S Oakview Dr\,,,,8634 S Oakview Dr\,Google Maps Agent - Google Maps List,2025-07-22,22:05:00
,8513 Constance St\,8513 Constance St\,,,,8513 Constance St\,Google Maps Agent - Google Maps List,2025-07-22,22:05:00
,8413 Greenwood Cir\,8413 Greenwood Cir\,,,,8413 Greenwood Cir\,Google Maps Agent - Google Maps List,2025-07-22,22:05:00
,"14614 W 84th St, Lenexa, KS 66215\",14614 W 84th St,Lenexa,KS,66215,"14614 W 84th St, Lenexa, KS 66215\",Google Maps Agent - Google Maps List,2025-07-22,22:05:00
,"8338 Mullen Rd, Lenexa, KS 66215\",8338 Mullen Rd,Lenexa,KS,66215,"8338 Mullen Rd, Lenexa, KS 66215\",Google Maps Agent - Google Maps List,2025-07-22,22:05:00
,14905 W 84th Terrace\,14905 W 84th Terrace\,,,,14905 W 84th Terrace\,Google Maps Agent - Google Maps List,2025-07-22,22:05:00
,8512 Darnell St\,8512 Darnell St\,,,,8512 Darnell St\,Google Maps Agent - Google Maps List,2025-07-22,22:05:00
,8339 Acuff Ln\,8339 Acuff Ln\,,,,8339 Acuff Ln\,Google Maps Agent - Google Maps List,2025-07-22,22:05:00
,"14626 W 85th Terrace, Lenexa, KS 66215\",14626 W 85th Terrace,Lenexa,KS,66215,"14626 W 85th Terrace, Lenexa, KS 66215\",Google Maps Agent - Google Maps List,2025-07-22,22:05:00
,"8349 Acuff Ln, Lenexa, KS 66215\",8349 Acuff Ln,Lenexa,KS,66215,"8349 Acuff Ln, Lenexa, KS 66215\",Google Maps Agent - Google Maps List,2025-07-22,22:05:00
,8334 Mullen Rd\,8334 Mullen Rd\,,,,8334 Mullen Rd\,Google Maps Agent - Google Maps List,2025-07-22,22:05:00
,8507 Darnell St\,8507 Darnell St\,,,,8507 Darnell St\,Google Maps Agent - Google Maps List,2025-07-22,22:05:00
,14512 W 86th St\,14512 W 86th St\,,,,14512 W 86th St\,Google Maps Agent - Google Maps List,2025-07-22,22:05:00
,"14633 W 84th St, Lenexa, KS 66215\",14633 W 84th St,Lenexa,KS,66215,"14633 W 84th St, Lenexa, KS 66215\",Google Maps Agent - Google Maps List,2025-07-22,22:05:00
,"14513 W 86th St, Lenexa, KS 66215\",14513 W 86th St,Lenexa,KS,66215,"14513 W 86th St, Lenexa, KS 66215\",Google Maps Agent - Google Maps List,2025-07-22,22:05:00
,"7934 Hallet St, Lenexa, KS 66215\",7934 Hallet St,Lenexa,KS,66215,"7934 Hallet St, Lenexa, KS 66215\",Google Maps Agent - Google Maps List,2025-07-22,22:05:00
,"8325 Greenwood Cir, Lenexa, KS 66215\",8325 Greenwood Cir,Lenexa,KS,66215,"8325 Greenwood Cir, Lenexa, KS 66215\",Google Maps Agent - Google Maps List,2025-07-22,22:05:00
,"8436 Darnell St, Lenexa, KS 66215\",8436 Darnell St,Lenexa,KS,66215,"8436 Darnell St, Lenexa, KS 66215\",Google Maps Agent - Google Maps List,2025-07-22,22:05:00
,8525 Greenwood Ln\,8525 Greenwood Ln\,,,,8525 Greenwood Ln\,Google Maps Agent - Google Maps List,2025-07-22,22:05:00
,8522 Hallet St\,8522 Hallet St\,,,,8522 Hallet St\,Google Maps Agent - Google Maps List,2025-07-22,22:05:00
,8315 Acuff Ln\,8315 Acuff Ln\,,,,8315 Acuff Ln\,Google Maps Agent - Google Maps List,2025-07-22,22:05:00
,"14512 W 86th St, Lenexa, KS 66215\",14512 W 86th St,Lenexa,KS,66215,"14512 W 86th St, Lenexa, KS 66215\",Google Maps Agent - Google Maps List,2025-07-22,22:05:00
,"8342 Greenwood Cir, Lenexa, KS 66215\",8342 Greenwood Cir,Lenexa,KS,66215,"8342 Greenwood Cir, Lenexa, KS 66215\",Google Maps Agent - Google Maps List,2025-07-22,22:05:00
,"8607 Dice Ln, Lenexa, KS 66215\",8607 Dice Ln,Lenexa,KS,66215,"8607 Dice Ln, Lenexa, KS 66215\",Google Maps Agent - Google Maps List,2025-07-22,22:05:00
,"8400 Greenwood Cir, Lenexa, KS 66215\",8400 Greenwood Cir,Lenexa,KS,66215,"8400 Greenwood Cir, Lenexa, KS 66215\",Google Maps Agent - Google Maps List,2025-07-22,22:05:00
,"14908 W 84th Terrace, Lenexa, KS 66215\",14908 W 84th Terrace,Lenexa,KS,66215,"14908 W 84th Terrace, Lenexa, KS 66215\",Google Maps Agent - Google Maps List,2025-07-22,22:05:00
,14520 W 86th Terrace\,14520 W 86th Terrace\,,,,14520 W 86th Terrace\,Google Maps Agent - Google Maps List,2025-07-22,22:05:00
,"8610 Hallet St, Lenexa, KS 66215\",8610 Hallet St,Lenexa,KS,66215,"8610 Hallet St, Lenexa, KS 66215\",Google Maps Agent - Google Maps List,2025-07-22,22:05:00
,"8303 Acuff Ln, Lenexa, KS 66215\",8303 Acuff Ln,Lenexa,KS,66215,"8303 Acuff Ln, Lenexa, KS 66215\",Google Maps Agent - Google Maps List,2025-07-22,22:05:00
,"8608 Dice Ln, Lenexa, KS 66215\",8608 Dice Ln,Lenexa,KS,66215,"8608 Dice Ln, Lenexa, KS 66215\",Google Maps Agent - Google Maps List,2025-07-22,22:05:00
,"8618 Acuff Ln, Lenexa, KS 66215\",8618 Acuff Ln,Lenexa,KS,66215,"8618 Acuff Ln, Lenexa, KS 66215\",Google Maps Agent - Google Maps List,2025-07-22,22:05:00
,"8520 Darnell St, Lenexa, KS 66215\",8520 Darnell St,Lenexa,KS,66215,"8520 Darnell St, Lenexa, KS 66215\",Google Maps Agent - Google Maps List,2025-07-22,22:05:00
,14608 W 84th St\,14608 W 84th St\,,,,14608 W 84th St\,Google Maps Agent - Google Maps List,2025-07-22,22:05:00
,"8522 Alden St, Lenexa, KS 66215\",8522 Alden St,Lenexa,KS,66215,"8522 Alden St, Lenexa, KS 66215\",Google Maps Agent - Google Maps List,2025-07-22,22:05:00
,8608 Dice Ln\,8608 Dice Ln\,,,,8608 Dice Ln\,Google Maps Agent - Google Maps List,2025-07-22,22:05:00
,"8345 Mullen Rd, Lenexa, KS 66215\",8345 Mullen Rd,Lenexa,KS,66215,"8345 Mullen Rd, Lenexa, KS 66215\",Google Maps Agent - Google Maps List,2025-07-22,22:05:00
,8535 Hallet St,8535 Hallet St,,,,8535 Hallet St,Google Maps Agent - Google Maps List,2025-07-22,22:05:00
,14713 W 84th St\,14713 W 84th St\,,,,14713 W 84th St\,Google Maps Agent - Google Maps List,2025-07-22,22:05:00
,8645 Greenway Ln\,8645 Greenway Ln\,,,,8645 Greenway Ln\,Google Maps Agent - Google Maps List,2025-07-22,22:05:00
,8342 Mullen Rd\,8342 Mullen Rd\,,,,8342 Mullen Rd\,Google Maps Agent - Google Maps List,2025-07-22,22:05:00
,"8619 Dice Ln, Lenexa, KS 66215\",8619 Dice Ln,Lenexa,KS,66215,"8619 Dice Ln, Lenexa, KS 66215\",Google Maps Agent - Google Maps List,2025-07-22,22:05:00
,"8348 Mullen Rd, Lenexa, KS 66215\",8348 Mullen Rd,Lenexa,KS,66215,"8348 Mullen Rd, Lenexa, KS 66215\",Google Maps Agent - Google Maps List,2025-07-22,22:05:00
,14426 W 86th Terrace\,14426 W 86th Terrace\,,,,14426 W 86th Terrace\,Google Maps Agent - Google Maps List,2025-07-22,22:05:00
,"14330 W 86th Pl, Lenexa, KS 66215\",14330 W 86th Pl,Lenexa,KS,66215,"14330 W 86th Pl, Lenexa, KS 66215\",Google Maps Agent - Google Maps List,2025-07-22,22:05:00
,"8508 Darnell St, Lenexa, KS 66215\",8508 Darnell St,Lenexa,KS,66215,"8508 Darnell St, Lenexa, KS 66215\",Google Maps Agent - Google Maps List,2025-07-22,22:05:00
,8305 Acuff Ln\,8305 Acuff Ln\,,,,8305 Acuff Ln\,Google Maps Agent - Google Maps List,2025-07-22,22:05:00
,"8413 Hallet St
Lenexa, KS 66215","8413 Hallet St
Lenexa, KS 66215",,,,"8413 Hallet St
Lenexa, KS 66215",Google Maps Agent - Google Maps List,2025-07-22,22:05:00
,"8511 Hallet St
Lenexa, KS 66215","8511 Hallet St
Lenexa, KS 66215",,,,"8511 Hallet St
Lenexa, KS 66215",Google Maps Agent - Google Maps List,2025-07-22,22:05:00
,"14501 W 86th St, Lenexa, KS 66215\",14501 W 86th St,Lenexa,KS,66215,"14501 W 86th St, Lenexa, KS 66215\",Google Maps Agent - Google Maps List,2025-07-22,22:05:00
,8322 Mullen Rd\,8322 Mullen Rd\,,,,8322 Mullen Rd\,Google Maps Agent - Google Maps List,2025-07-22,22:05:00
,"8427 Greenwood Cir, Lenexa, KS 66215\",8427 Greenwood Cir,Lenexa,KS,66215,"8427 Greenwood Cir, Lenexa, KS 66215\",Google Maps Agent - Google Maps List,2025-07-22,22:05:00
,"8363 Alden St, Lenexa, KS 66215\",8363 Alden St,Lenexa,KS,66215,"8363 Alden St, Lenexa, KS 66215\",Google Maps Agent - Google Maps List,2025-07-22,22:05:00
,"8341 Acuff Ln, Lenexa, KS 66215\",8341 Acuff Ln,Lenexa,KS,66215,"8341 Acuff Ln, Lenexa, KS 66215\",Google Maps Agent - Google Maps List,2025-07-22,22:05:00
,"14407 W 84th Terrace, Lenexa, KS 66215\",14407 W 84th Terrace,Lenexa,KS,66215,"14407 W 84th Terrace, Lenexa, KS 66215\",Google Maps Agent - Google Maps List,2025-07-22,22:05:00
,8349 Oakview Cir\,8349 Oakview Cir\,,,,8349 Oakview Cir\,Google Maps Agent - Google Maps List,2025-07-22,22:05:00
,"8527 Hallet St
Lenexa, KS 66215","8527 Hallet St
Lenexa, KS 66215",,,,"8527 Hallet St
Lenexa, KS 66215",Google Maps Agent - Google Maps List,2025-07-22,22:05:00
,"8401 Greenwood Cir, Lenexa, KS 66215\",8401 Greenwood Cir,Lenexa,KS,66215,"8401 Greenwood Cir, Lenexa, KS 66215\",Google Maps Agent - Google Maps List,2025-07-22,22:05:00
,8337 Acuff Ln\,8337 Acuff Ln\,,,,8337 Acuff Ln\,Google Maps Agent - Google Maps List,2025-07-22,22:05:00
,8451 Constance St\,8451 Constance St\,,,,8451 Constance St\,Google Maps Agent - Google Maps List,2025-07-22,22:05:00
,8541 Greenwood Ln\,8541 Greenwood Ln\,,,,8541 Greenwood Ln\,Google Maps Agent - Google Maps List,2025-07-22,22:05:00
,"14721 W 83rd Terrace, Lenexa, KS 66215\",14721 W 83rd Terrace,Lenexa,KS,66215,"14721 W 83rd Terrace, Lenexa, KS 66215\",Google Maps Agent - Google Maps List,2025-07-22,22:05:00
,14134 W 84th Terrace\,14134 W 84th Terrace\,,,,14134 W 84th Terrace\,Google Maps Agent - Google Maps List,2025-07-22,22:05:00
,14622 W 85th Terrace\,14622 W 85th Terrace\,,,,14622 W 85th Terrace\,Google Maps Agent - Google Maps List,2025-07-22,22:05:00
,8429 Acuff Ln\,8429 Acuff Ln\,,,,8429 Acuff Ln\,Google Maps Agent - Google Maps List,2025-07-22,22:05:00
,"8307 Acuff Ln, Lenexa, KS 66215\",8307 Acuff Ln,Lenexa,KS,66215,"8307 Acuff Ln, Lenexa, KS 66215\",Google Maps Agent - Google Maps List,2025-07-22,22:05:00
,14614 W 84th St\,14614 W 84th St\,,,,14614 W 84th St\,Google Maps Agent - Google Maps List,2025-07-22,22:05:00
,"8639 Greenway Ln, Lenexa, KS 66215\",8639 Greenway Ln,Lenexa,KS,66215,"8639 Greenway Ln, Lenexa, KS 66215\",Google Maps Agent - Google Maps List,2025-07-22,22:05:00
,"14633 W 85th Terrace, Lenexa, KS 66215\",14633 W 85th Terrace,Lenexa,KS,66215,"14633 W 85th Terrace, Lenexa, KS 66215\",Google Maps Agent - Google Maps List,2025-07-22,22:05:00
,"8342 Mullen Rd, Lenexa, KS 66215\",8342 Mullen Rd,Lenexa,KS,66215,"8342 Mullen Rd, Lenexa, KS 66215\",Google Maps Agent - Google Maps List,2025-07-22,22:05:00
,14201 W 84th Terrace\,14201 W 84th Terrace\,,,,14201 W 84th Terrace\,Google Maps Agent - Google Maps List,2025-07-22,22:05:00
,8614 Dice Ln\,8614 Dice Ln\,,,,8614 Dice Ln\,Google Maps Agent - Google Maps List,2025-07-22,22:05:00
,14613 W 85th Terrace\,14613 W 85th Terrace\,,,,14613 W 85th Terrace\,Google Maps Agent - Google Maps List,2025-07-22,22:05:00
,8627 Acuff Ln\,8627 Acuff Ln\,,,,8627 Acuff Ln\,Google Maps Agent - Google Maps List,2025-07-22,22:05:00
,8405 Acuff Ln\,8405 Acuff Ln\,,,,8405 Acuff Ln\,Google Maps Agent - Google Maps List,2025-07-22,22:05:00
,8358 Alden St\,8358 Alden St\,,,,8358 Alden St\,Google Maps Agent - Google Maps List,2025-07-22,22:05:00
,8533 Constance St\,8533 Constance St\,,,,8533 Constance St\,Google Maps Agent - Google Maps List,2025-07-22,22:05:00
,"14236 W 84th Terrace, Lenexa, KS 66215\",14236 W 84th Terrace,Lenexa,KS,66215,"14236 W 84th Terrace, Lenexa, KS 66215\",Google Maps Agent - Google Maps List,2025-07-22,22:05:00
,"8405 Mullen Rd, Lenexa, KS 66215\",8405 Mullen Rd,Lenexa,KS,66215,"8405 Mullen Rd, Lenexa, KS 66215\",Google Maps Agent - Google Maps List,2025-07-22,22:05:00
,"8512 Hallet St, Lenexa, KS 66215\",8512 Hallet St,Lenexa,KS,66215,"8512 Hallet St, Lenexa, KS 66215\",Google Maps Agent - Google Maps List,2025-07-22,22:05:00
,14819 W 84th St\,14819 W 84th St\,,,,14819 W 84th St\,Google Maps Agent - Google Maps List,2025-07-22,22:05:00
,8434 Hallet St\,8434 Hallet St\,,,,8434 Hallet St\,Google Maps Agent - Google Maps List,2025-07-22,22:05:00
,"8413 Hallet St, Lenexa, KS 66215\",8413 Hallet St,Lenexa,KS,66215,"8413 Hallet St, Lenexa, KS 66215\",Google Maps Agent - Google Maps List,2025-07-22,22:05:00
,"8445 Hallet St
Lenexa, KS 66215","8445 Hallet St
Lenexa, KS 66215",,,,"8445 Hallet St
Lenexa, KS 66215",Google Maps Agent - Google Maps List,2025-07-22,22:05:00
,8352 Oakview Cir\,8352 Oakview Cir\,,,,8352 Oakview Cir\,Google Maps Agent - Google Maps List,2025-07-22,22:05:00
,"8358 Hallet St, Lenexa, KS 66215\",8358 Hallet St,Lenexa,KS,66215,"8358 Hallet St, Lenexa, KS 66215\",Google Maps Agent - Google Maps List,2025-07-22,22:05:00
,"8530 Alden St, Lenexa, KS 66215\",8530 Alden St,Lenexa,KS,66215,"8530 Alden St, Lenexa, KS 66215\",Google Maps Agent - Google Maps List,2025-07-22,22:05:00
,"14813 W 84th St, Lenexa, KS 66215\",14813 W 84th St,Lenexa,KS,66215,"14813 W 84th St, Lenexa, KS 66215\",Google Maps Agent - Google Maps List,2025-07-22,22:05:00
,"8429 Hallet St
Lenexa, KS 66215","8429 Hallet St
Lenexa, KS 66215",,,,"8429 Hallet St
Lenexa, KS 66215",Google Maps Agent - Google Maps List,2025-07-22,22:05:00
,8519 Hallet St,8519 Hallet St,,,,8519 Hallet St,Google Maps Agent - Google Maps List,2025-07-22,22:05:00
,"14430 W 84th Terrace, Lenexa, KS 66215\",14430 W 84th Terrace,Lenexa,KS,66215,"14430 W 84th Terrace, Lenexa, KS 66215\",Google Maps Agent - Google Maps List,2025-07-22,22:05:00
,8635 Acuff Ln\,8635 Acuff Ln\,,,,8635 Acuff Ln\,Google Maps Agent - Google Maps List,2025-07-22,22:05:00
,"8307 Mullen Rd, Lenexa, KS 66215\",8307 Mullen Rd,Lenexa,KS,66215,"8307 Mullen Rd, Lenexa, KS 66215\",Google Maps Agent - Google Maps List,2025-07-22,22:05:00
,"8434 Acuff Ln, Lenexa, KS 66215\",8434 Acuff Ln,Lenexa,KS,66215,"8434 Acuff Ln, Lenexa, KS 66215\",Google Maps Agent - Google Maps List,2025-07-22,22:05:00
,14902 W 84th Terrace\,14902 W 84th Terrace\,,,,14902 W 84th Terrace\,Google Maps Agent - Google Maps List,2025-07-22,22:05:00
,8534 Hallet St\,8534 Hallet St\,,,,8534 Hallet St\,Google Maps Agent - Google Maps List,2025-07-22,22:05:00
,"8628 Greenway Ln, Lenexa, KS 66215\",8628 Greenway Ln,Lenexa,KS,66215,"8628 Greenway Ln, Lenexa, KS 66215\",Google Maps Agent - Google Maps List,2025-07-22,22:05:00
,"8645 Greenway Ln, Lenexa, KS 66215\",8645 Greenway Ln,Lenexa,KS,66215,"8645 Greenway Ln, Lenexa, KS 66215\",Google Maps Agent - Google Maps List,2025-07-22,22:05:00
,8508 Darnell St\,8508 Darnell St\,,,,8508 Darnell St\,Google Maps Agent - Google Maps List,2025-07-22,22:05:00
,"8212 Acuff Ln, Lenexa, KS 66215\",8212 Acuff Ln,Lenexa,KS,66215,"8212 Acuff Ln, Lenexa, KS 66215\",Google Maps Agent - Google Maps List,2025-07-22,22:05:00
,8511 Hallet St\,8511 Hallet St\,,,,8511 Hallet St\,Google Maps Agent - Google Maps List,2025-07-22,22:05:00
,8619 Dice Ln\,8619 Dice Ln\,,,,8619 Dice Ln\,Google Maps Agent - Google Maps List,2025-07-22,22:05:00
,"8523 Darnell St, Lenexa, KS 66215\",8523 Darnell St,Lenexa,KS,66215,"8523 Darnell St, Lenexa, KS 66215\",Google Maps Agent - Google Maps List,2025-07-22,22:05:00
,"14801 W 83rd Terrace, Lenexa, KS 66215\",14801 W 83rd Terrace,Lenexa,KS,66215,"14801 W 83rd Terrace, Lenexa, KS 66215\",Google Maps Agent - Google Maps List,2025-07-22,22:05:00
